('CHEVROLET', 'CANADIAN NASCAR', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8784&make=8559'), 
('CHEVROLET', '427 - APBA - OPEN CHAMBER - DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10443&make=8559'), 
('CHEVROLET', 'BBC - EDELBROCK® 118CC CLYINDER HEAD DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11376&make=8559'), 
('CHEVROLET', '302 - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11517&make=8559'), 
('CHEVROLET', '502 - REPLACEMENT  SERIES', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11835&make=8559'), 
('CHEVROLET', '327 - 23°', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=12351&make=8559'),
('CHRYSLER', '340 FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9831&make=8562'),
('CHRYSLER', '440 BIG BLOCK INVERTED DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11403&make=8562'),
('CHRYSLER', '440 WEDGE FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11796&make=8562'),
('CHRYSLER', '426 - HEMI', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=10782&make=8562'),
('CHRYSLER', '440 WEDGE DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9111&make=8562'),
('CHRYSLER', '420A / ECB /ECC', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=2992&make=8562'),
('CHRYSLER', 'A853', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=4417&make=8562'),
('CHRYSLER', '360 FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8409&make=8562'),
('CHRYSLER', '340 INVERTED DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9105&make=8562'),
('CHRYSLER', '400 - MOPAR - WEDGE - FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=12612&make=8562'),
('CHRYSLER', '360 INVERTED DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=11838&make=8562'),
('CHRYSLER', '440 INVERTED DOME', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8082&make=8562'),
('CHRYSLER', '440 FLAT TOP', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8121&make=8562'),
('CHRYSLER', 'GEN III HEMI 6.2L HELLCAT .927 PIN', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8778&make=8562'),
('CHRYSLER', 'CANADIAN NASCAR', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8784&make=8562'),
('CHRYSLER', 'SRT4', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=8808&make=8562'),
('CHRYSLER', '2.0 ECC/ECB', 'https://www.jepistons.com/catalogsearch/result?q=customhome&type=makeengine&engine=9804&make=8562'),
